player
Stephen Curry
Kevin Durant
Draymond Green
Klay Thompson
Andre Iguodala
Shaun Livingston
Zaza Pachulia
David West
Nick Young
JaVale McGee
Patrick McCaw
Jordan Bell
Kevon Looney
Omri Casspi
Damian Jones
Chris Boucher
Quinn Cook
