player,,,
Stephen Curry,,,
Klay Thompson,,,
Draymond Green,,,
Andrew Wiggins,,,
James Wiseman,,,
Jordan Poole,,,
Jonathan Kuminga,,,
Moses Moody,,,
Gary Payton II,,,
Nemanja Bjelica,,,
Otto Porter Jr.,,,
Andre Iguodal,,,
Juan Toscano-Anderson,,,
Damion Lee,,,
Chris Chiozza,,,
